Cluster,Frequency,MonetaryTotal,MonetaryAvg,MonetaryStd,TotalQuantity,AvgQuantityPerTransaction,CustomerTenureDays,FirstPurchaseDaysAgo,PreferredMonth,AvgDaysBetweenPurchases,UniqueProducts,AvgProductsPerTransaction,ReturnRatio,SpendingCategory,FavoriteSeason,ProductDiversity,RegYear,RegMonth,AvgBasket,DiversityRatio,ValuePerProduct
0,1.24,1.729,0.258,-0.012,0.962,0.317,1.371,0.779,0.189,0.01,1.228,-0.107,-0.001,1.377,-0.1,-0.512,-0.49,0.116,1.073,-1.213,0.632
1,-0.211,-0.294,-0.044,0.002,-0.164,-0.054,-0.233,-0.132,-0.032,-0.002,-0.209,0.018,0.0,-0.234,0.017,0.087,0.083,-0.02,-0.182,0.206,-0.107
